#chr	start	end	geneName;geneId
1	6260534	6286358	RNF207;ENSG00000158286
1	6276251	6301031	ICMT;ENSG00000116237
1	6299251	6310637	HES3;ENSG00000173673
1	6302405	6326034	GPR153;ENSG00000158292
1	6319332	6459450	ACOT7;ENSG00000097021
1	6467477	6489729	HES2;ENSG00000069812
1	6479847	6526429	ESPN;ENSG00000187017
1	6516210	6531254	TNFRSF25;ENSG00000215788
1	6521151	6585120	PLEKHG5;ENSG00000171680
1	6576406	6619594	NOL9;ENSG00000162408
1	6610240	6644816	TAS1R1;ENSG00000173662
1	6635060	6654339	ZBTB48;ENSG00000204859
1	6645783	6679666	KLHL21;ENSG00000162413
1	6668744	6689092	PHF13;ENSG00000116273
1	6679925	6700645	THAP3;ENSG00000041988
1	6689227	6766983	DNAJC11;ENSG00000007923
1	6840383	7832915	CAMTA1;ENSG00000171735
1	7826328	7846491	VAMP3;ENSG00000049245
1	7839379	7910236	PER3;ENSG00000049246
1	7898142	7918571	UTS2;ENSG00000049247
1	7974906	8005925	TNFRSF9;ENSG00000049249
1	8009350	8050564	PARK7;ENSG00000116288
1	8059463	8091367	ERRFI1;ENSG00000116285
1	8372885	8409226	SLC45A1;ENSG00000162426
1	8407456	8882701	RERE;ENSG00000142599
1	8916060	8944307	ENO1;ENSG00000074800
1	9000921	9040150	CA6;ENSG00000131686
1	9058358	9091403	SLC2A7;ENSG00000197241
1	9090165	9153536	SLC2A5;ENSG00000142583
1	9155363	9194228	GPR157;ENSG00000180758
1	9289862	9336395	H6PD;ENSG00000049239
1	9347938	9434590	SPSB1;ENSG00000171621
1	9594540	9647830	SLC25A33;ENSG00000171612
1	9643931	9679934	TMEM201;ENSG00000188807
1	9706789	9794171	PIK3CD;ENSG00000171608
1	9707667	9719643	C1orf200;ENSG00000179840
1	9784083	9889583	CLSTN1;ENSG00000171603
1	9903333	9975393	CTNNBIP1;ENSG00000178585
1	9977170	10008464	LZIC;ENSG00000162441
1	9998485	10050558	NMNAT1;ENSG00000173614
1	10052263	10081077	RBP7;ENSG00000162444
1	10087889	10246296	UBE4B;ENSG00000130939
1	10265862	10446660	KIF1B;ENSG00000054523
1	10453648	10485200	PGD;ENSG00000142657
1	10485158	10517209	APITD1;ENSG00000175279
1	10485158	10517209	APITD1-CORT;ENSG00000251503
1	10504775	10516958	CORT;ENSG00000241563
1	10511578	10537582	DFFA;ENSG00000160049
1	10527344	10695814	PEX14;ENSG00000142655
1	10691660	10861706	CASZ1;ENSG00000130940
1	11001527	11047093	C1orf127;ENSG00000175262
1	11067413	11090795	TARDBP;ENSG00000120948
1	11081579	11112289	MASP2;ENSG00000009724
1	11109640	11125080	SRM;ENSG00000116649
1	11121674	11164937	EXOSC10;ENSG00000171824
1	11161591	11327563	MTOR;ENSG00000198793
1	11244397	11261037	ANGPTL7;ENSG00000171819
1	11328262	11361105	UBIAD1;ENSG00000120942
1	11534222	11602640	PTCHD2;ENSG00000204624
1	11703423	11720841	FBXO2;ENSG00000116661
1	11709431	11728383	FBXO44;ENSG00000132879
1	11719180	11739410	FBXO6;ENSG00000116663
1	11729537	11756706	MAD2L2;ENSG00000116670
1	11746785	11790913	DRAXIN;ENSG00000162490
1	11791140	11819858	AGTRAP;ENSG00000177674
1	11816843	11854641	C1orf167;ENSG00000215910
1	11840779	11871976	MTHFR;ENSG00000177000
1	11861206	11908200	CLCN6;ENSG00000011021
1	11900765	11913401	NPPA;ENSG00000175206
1	11912520	11923987	NPPB;ENSG00000120937
1	11974647	11991484	KIAA2013;ENSG00000116685
1	11989261	12040598	PLOD1;ENSG00000083444
1	12035237	12078570	MFN2;ENSG00000116688
1	12074522	12097101	MIIP;ENSG00000116691
1	12118433	12209263	TNFRSF8;ENSG00000120949
1	12222059	12274284	TNFRSF1B;ENSG00000028137
1	12285123	12577098	VPS13D;ENSG00000048707
1	12622938	12682736	DHRS3;ENSG00000162496
1	12699565	12732096	AADACL4;ENSG00000204518
1	12771117	12793725	AADACL3;ENSG00000188984
1	12801162	12828846	C1orf158;ENSG00000157330
1	12829983	12843048	PRAMEF12;ENSG00000116726
1	12846545	12861776	PRAMEF1;ENSG00000116721
1	12879467	12896263	PRAMEF11;ENSG00000204513
1	12902260	12913577	HNRNPCL1;ENSG00000179172
1	12911940	12926763	PRAMEF2;ENSG00000120952
1	12934044	12951024	PRAMEF4;ENSG00000243073
1	12947726	12963100	PRAMEF10;ENSG00000187545
1	12971449	12985568	PRAMEF7;ENSG00000204510
1	12993180	13122750	PRAMEF6;ENSG00000232423
1	13030542	13043380	PRAMEF22;ENSG00000204508
1	13047393	13057997	WI2-3308P17.2;ENSG00000239810
1	13323195	13336691	PRAMEF3;ENSG00000204503
1	13354818	13374056	PRAMEF5;ENSG00000204502
1	13381645	13395764	PRAMEF8;ENSG00000182330
1	13416175	13433190	PRAMEF9;ENSG00000204501
1	13442413	13457655	PRAMEF13;ENSG00000204495
1	13469052	13482568	PRAMEF18;ENSG00000204491
1	13490253	13503259	PRAMEF16;ENSG00000204488
1	13511065	13531942	PRAMEF21;ENSG00000204486
1	13636972	13653987	PRAMEF15;ENSG00000157358
1	13663268	13678510	PRAMEF14;ENSG00000204481
1	13689888	13703404	PRAMEF19;ENSG00000204480
1	13711087	13724063	PRAMEF17;ENSG00000204479
1	13731906	13752802	PRAMEF20;ENSG00000204478
1	13796444	13845542	LRRC38;ENSG00000162494
1	13904959	13949451	PDPN;ENSG00000162493
1	14021692	14156559	PRDM2;ENSG00000116731
1	14214051	14512086	C1orf196;ENSG00000218328
1	14920199	15449538	KAZN;ENSG00000189337
1	15474027	15551973	TMEM51;ENSG00000171729
1	15485839	15502812	C1orf195;ENSG00000204464
1	15568767	15731857	FHAD1;ENSG00000142621
1	15731390	15761838	EFHD2;ENSG00000142634
1	15759934	15780736	CTRC;ENSG00000162438
1	15778222	15803585	CELA2A;ENSG00000142615
1	15787403	15822894	CELA2B;ENSG00000215704
1	15812326	15858028	CASP9;ENSG00000132906
1	15848307	15923873	DNAJC16;ENSG00000116138
1	15893847	15916604	AGMAT;ENSG00000116771
1	15938994	16000538	DDI2;ENSG00000197312
1	15981363	15993216	RSC1A1;ENSG00000215695
1	16005826	16066263	PLEKHM2;ENSG00000116786
1	16057899	16072890	SLC25A34;ENSG00000162461
1	16063916	16079476	TMEM82;ENSG00000162460
1	16078101	16118088	FBLIM1;ENSG00000162458
1	16169358	16271954	SPEN;ENSG00000065526
1	16263363	16307626	ZBTB17;ENSG00000116809
1	16325730	16340301	C1orf64;ENSG00000183888
1	16335522	16351088	HSPB7;ENSG00000173641
1	16340329	16365544	CLCNKA;ENSG00000186510
1	16365271	16388802	CLCNKB;ENSG00000184908
1	16379263	16405126	FAM131C;ENSG00000185519
1	16445831	16487581	EPHA2;ENSG00000142627
1	16519348	16544139	ARHGEF19;ENSG00000142632
1	16550169	16561093	C1orf134;ENSG00000204377
1	16550169	16568494	RSG1;ENSG00000132881
1	16568333	16683948	FBXO42;ENSG00000037637
1	16674069	16729639	SZRD1;ENSG00000055070
1	16708611	16768918	SPATA21;ENSG00000187144
1	16762166	16791572	NECAP2;ENSG00000157191
1	16857254	16869668	AL355149.1;ENSG00000197511
1	16994497	17005006	AL137798.1;ENSG00000237847
1	17076404	17101731	MST1P9;ENSG00000186715
1	17191253	17203667	BX284668.1;ENSG00000196690
1	17217231	17304458	CROCC;ENSG00000058453
1	17295996	17312329	MFAP2;ENSG00000117122
1	17307452	17343422	ATP13A2;ENSG00000159363
1	17340216	17385664	SDHB;ENSG00000117118
1	17388255	17450947	PADI2;ENSG00000117115
1	17526620	17577499	PADI1;ENSG00000142623
1	17570592	17615727	PADI3;ENSG00000142619
1	17629689	17695498	PADI4;ENSG00000159339
1	17728255	17771219	RCC2;ENSG00000179051
1	17861329	18029368	ARHGEF10L;ENSG00000074964
1	18076807	18158557	ACTL8;ENSG00000117148
1	18429239	18709976	IGSF21;ENSG00000117154
1	18802423	18817477	KLHDC7A;ENSG00000179023
1	18952499	19080359	PAX7;ENSG00000009709
1	19161092	19191175	TAS1R2;ENSG00000179002
1	19192925	19234274	ALDH4A1;ENSG00000159423
1	19225774	19288179	IFFO2;ENSG00000169991
1	19395999	19541769	UBR4;ENSG00000127481
1	19537157	19583045	EMC1;ENSG00000127463
1	19573032	19591621	MRTO4;ENSG00000053372
1	19587477	19605687	AKR7L;ENSG00000211454
1	19604051	19620743	AKR7A3;ENSG00000162482
1	19625458	19643639	AKR7A2;ENSG00000053371
1	19633819	19660793	PQLC2;ENSG00000040487
1	19660266	19817065	CAPZB;ENSG00000077549
1	19918476	19961313	MINOS1;ENSG00000173436
1	19962047	19989944	NBL1;ENSG00000158747
1	19986779	20011054	HTR6;ENSG00000158748
1	20003705	20131437	TMCO4;ENSG00000162542
1	20135522	20146770	RNF186;ENSG00000178828
1	20204005	20244437	OTUD3;ENSG00000169914
1	20241501	20255109	PLA2G2E;ENSG00000188784
1	20296924	20311931	PLA2G2A;ENSG00000188257
1	20349671	20422682	PLA2G5;ENSG00000127472
1	20433431	20451049	PLA2G2D;ENSG00000117215
1	20460818	20481878	PLA2G2F;ENSG00000158786
1	20482745	20508916	PLA2G2C;ENSG00000187980
1	20507577	20527540	UBXN10;ENSG00000162543
1	20612411	20686386	VWA5B1;ENSG00000158816
1	20803883	20817712	CAMK2N1;ENSG00000162545
1	20820942	20839653	MUL1;ENSG00000090432
1	20873931	20886511	FAM43B;ENSG00000183114
1	20910440	20950400	CDA;ENSG00000158825
1	20954947	20983003	PINK1;ENSG00000158828
1	20973269	20992999	DDOST;ENSG00000244038
1	20985506	21049509	KIF17;ENSG00000117245
1	21041224	21064329	SH2D5;ENSG00000189410
1	21064153	21118815	HP1BP3;ENSG00000127483
1	21127971	21508376	EIF4G3;ENSG00000075151
1	21538739	21676996	ECE1;ENSG00000117298
1	21761620	21816497	NBPF3;ENSG00000142794
1	21830857	21909904	ALPL;ENSG00000162551
1	21917707	22000855	RAP1GAP;ENSG00000076864
1	21999790	22115098	USP48;ENSG00000090686
1	22133757	22156713	LDLRAD2;ENSG00000187942
1	22143737	22268789	HSPG2;ENSG00000142798
1	22298513	22330134	CELA3B;ENSG00000219073
1	22323148	22344031	CELA3A;ENSG00000142789
1	22374119	22424436	CDC42;ENSG00000070831
1	22441460	22475461	WNT4;ENSG00000162552
1	22773343	22862649	ZBTB40;ENSG00000184677
1	22885056	22935086	EPHA8;ENSG00000070886
1	22957998	22971100	C1QA;ENSG00000173372
1	22965122	22979602	C1QC;ENSG00000159189
1	22974254	22993030	C1QB;ENSG00000173369
1	23032331	23246817	EPHB2;ENSG00000133216
1	23332326	23347342	RP4-805N21.1;ENSG00000227868
1	23340940	23415181	KDM1A;ENSG00000004487
1	23405515	23509300	LUZP1;ENSG00000169641
1	23511992	23526221	HTR1D;ENSG00000179546
1	23625263	23675828	HNRNPR;ENSG00000125944
1	23680940	23700934	ZNF436;ENSG00000125945
1	23690489	23703331	C1orf213;ENSG00000249087
1	23702553	23756232	TCEA3;ENSG00000204219
1	23750054	23815684	ASAP3;ENSG00000088280
1	23827921	23862711	E2F2;ENSG00000007968
1	23879408	23891284	ID3;ENSG00000117318
1	23902984	23972057	MDS2;ENSG00000197880
1	24013268	24027914	RPL11;ENSG00000142676
1	24064644	24093548	TCEB3;ENSG00000011007
1	24099894	24119721	PITHD1;ENSG00000057757
1	24112459	24127028	LYPLA2;ENSG00000011009
1	24117088	24132270	GALE;ENSG00000117308
1	24123374	24170109	HMGCL;ENSG00000117305
1	24166566	24199783	FUCA1;ENSG00000179163
1	24192015	24290548	CNR2;ENSG00000188822
1	24280598	24294951	PNRC2;ENSG00000189266
1	24286293	24312416	SRSF10;ENSG00000188529
1	24377524	24443664	MYOM3;ENSG00000142661
1	24441260	24474610	IL22RA1;ENSG00000142677
1	24475646	24519448	IL28RA;ENSG00000185436
1	24640811	24695971	GRHL3;ENSG00000158055
1	24678488	24748423	STPG1;ENSG00000001460
1	24737283	24804465	NIPAL3;ENSG00000001461
1	24824386	24868505	RCAN3;ENSG00000117602
1	24877601	24940818	NCMAP;ENSG00000184454
1	24953206	25004757	SRRM1;ENSG00000133226
1	25066847	25175814	CLIC4;ENSG00000169504
1	25221001	25296611	RUNX3;ENSG00000020633
1	25544169	25563992	SYF2;ENSG00000117614
1	25563727	25669703	C1orf63;ENSG00000117616
1	25593883	25661935	RHD;ENSG00000187010
1	25659407	25693851	TMEM50A;ENSG00000183726
1	25683740	25761682	RHCE;ENSG00000188672
1	25752387	25831699	TMEM57;ENSG00000204178
1	25865070	25900376	LDLRAP1;ENSG00000157978
1	25938958	26117697	MAN1C1;ENSG00000117643
1	26121666	26149712	SEPN1;ENSG00000162430
1	26140130	26164431	FAM54B;ENSG00000117640
1	26140211	26152287	AL020996.1;ENSG00000223474
1	26153413	26190902	AUNIP;ENSG00000127423
1	26182700	26202743	PAQR7;ENSG00000182749
1	26205671	26238481	STMN1;ENSG00000117632
1	26281257	26329647	PAFAH2;ENSG00000158006
1	26341374	26367954	EXTL1;ENSG00000158008
1	26358742	26377623	SLC30A2;ENSG00000158014
1	26372794	26399926	TRIM63;ENSG00000158022
1	26432663	26457033	PDIK1L;ENSG00000175087
1	26480510	26494118	FAM110D;ENSG00000197245
1	26491361	26503550	ZNF593;ENSG00000142684
1	26498893	26521376	CNKSR1;ENSG00000142675
1	26512051	26534458	CATSPER4;ENSG00000188782
1	26555690	26610298	CEP85;ENSG00000130695
1	26600666	26613006	SH3BGRL3;ENSG00000142669
1	26602818	26649853	UBXN11;ENSG00000158062
1	26639447	26652013	CD52;ENSG00000169442
1	26643349	26685620	AIM1L;ENSG00000176092
1	26683124	26706012	ZNF683;ENSG00000176083
1	26732268	26761212	LIN28A;ENSG00000131914
1	26753772	26802784	DHDDS;ENSG00000117682
1	26793940	26807462	HMGN2;ENSG00000198830
1	26851251	26906520	RPS6KA1;ENSG00000117676
1	27017523	27113594	ARID1A;ENSG00000117713
1	27108962	27129888	PIGV;ENSG00000060642
1	27148200	27188390	ZDHHC18;ENSG00000204160
1	27184632	27195946	SFN;ENSG00000175793
1	27200772	27221787	GPN2;ENSG00000142751
1	27211978	27231956	GPATCH3;ENSG00000198746
1	27221728	27278352	NUDC;ENSG00000090273
1	27232979	27245456	NR0B2;ENSG00000131910
1	27271052	27291896	C1orf172;ENSG00000175707
1	27315197	27332388	TRNP1;ENSG00000253368
1	27326510	27344326	FAM46B;ENSG00000158246
1	27420305	27498471	SLC9A1;ENSG00000090020
1	27556006	27640109	WDTC1;ENSG00000142784
1	27643650	27667890	TMEM222;ENSG00000186501
1	27663512	27685420	SYTL1;ENSG00000142765
1	27676669	27698382	MAP3K6;ENSG00000142733
1	27690602	27706314	FCN3;ENSG00000142748
1	27700665	27714869	CD164L2;ENSG00000174950
1	27714147	27727317	GPR3;ENSG00000181773
1	27725729	27821668	WASF2;ENSG00000158195
1	27855545	27935941	AHDC1;ENSG00000126705
1	27933574	27966787	FGR;ENSG00000000938
1	27987571	28003728	IFI6;ENSG00000126709
1	28047489	28093474	FAM76A;ENSG00000009780
1	28094693	28155962	STX12;ENSG00000117758
1	28152288	28183186	PPP1R8;ENSG00000117751
1	28194054	28218195	THEMIS2;ENSG00000130775
1	28213034	28246256	RPA2;ENSG00000117748
1	28256503	28290667	SMPDL3B;ENSG00000130768
1	28280972	28299606	XKR8;ENSG00000158156
1	28291854	28420206	EYA3;ENSG00000158161
1	28468676	28525446	PTAFR;ENSG00000169403
1	28522012	28532151	AL353354.1;ENSG00000215902
1	28522067	28564535	DNAJC8;ENSG00000126698
1	28557619	28578416	ATPIF1;ENSG00000130770
1	28581037	28614001	SESN2;ENSG00000130766
1	28650512	28667475	MED18;ENSG00000130772
1	28691113	28831880	PHACTR4;ENSG00000204138
1	28827454	28870707	RCC1;ENSG00000180198
1	28874596	28910050	TRNAU1AP;ENSG00000180098
1	28910834	28974596	TAF12;ENSG00000120656
1	28913711	28926954	RAB42;ENSG00000188060
1	28990243	29050864	GMEB1;ENSG00000162419
1	29058132	29101286	YTHDF2;ENSG00000198492
1	29133653	29195207	OPRD1;ENSG00000116329
1	29208602	29451552	EPB41;ENSG00000159023
1	29440939	29455446	TMEM200B;ENSG00000253304
1	29469254	29513498	SRSF4;ENSG00000116350
1	29514384	29562453	MECR;ENSG00000116353
1	29558027	29658324	PTPRU;ENSG00000060656
1	31179123	31201433	MATN1;ENSG00000162510
1	31200315	31235666	LAPTM5;ENSG00000162511
1	31337313	31386607	SDC3;ENSG00000162512
1	31399352	31543837	PUM1;ENSG00000134644
1	31647591	31717400	NKAIN1;ENSG00000084628
1	31727416	31774661	SNRNP40;ENSG00000060688
1	31764841	31842782	ZCCHC17;ENSG00000121766
1	31833471	31854696	FABP3;ENSG00000121769
1	31877411	31912524	SERINC2;ENSG00000168528
1	32037115	32058287	TINAGL1;ENSG00000142910
1	32078286	32103118	HCRTR1;ENSG00000121764
1	32090462	32115496	PEF1;ENSG00000162517
1	32112847	32174919	COL16A1;ENSG00000084636
1	32187717	32235493	BAI2;ENSG00000121753
1	32251022	32286651	SPOCD1;ENSG00000134668
1	32367021	32415456	PTP4A2;ENSG00000184007
1	32374173	32385744	AL136115.1;ENSG00000212673
1	32474429	32531450	KHDRBS1;ENSG00000121774
1	32532631	32573466	TMEM39B;ENSG00000121775
1	32568638	32647168	KPNA6;ENSG00000025800
1	32640286	32668885	TXLNA;ENSG00000084652
1	32660986	32675987	CCDC28B;ENSG00000160050
1	32666235	32679287	IQCC;ENSG00000160051
1	32669694	32686796	DCDC2B;ENSG00000222046
1	32675072	32692971	TMEM234;ENSG00000160055
1	32682528	32702204	EIF3I;ENSG00000084623
1	32707833	32719456	FAM167B;ENSG00000183615
1	32711839	32756765	LCK;ENSG00000182866
1	32752686	32804235	HDAC1;ENSG00000116478
1	32794432	32806979	MARCKSL1;ENSG00000175130
1	32812121	32834912	TSSK3;ENSG00000162526
1	32821870	32834878	RP4-811H24.6;ENSG00000225828
1	32825703	32865331	BSDC1;ENSG00000160058
1	32925669	32958460	ZBTB8B;ENSG00000215897
1	33000027	33071590	ZBTB8A;ENSG00000160062
1	33060772	33121503	ZBTB8OS;ENSG00000176261
1	33111742	33151257	RBBP4;ENSG00000162521
1	33140506	33174196	SYNC;ENSG00000162520
1	33202485	33245570	KIAA1522;ENSG00000162522
1	33235839	33288753	YARS;ENSG00000134684
1	33277367	33329475	S100PBP;ENSG00000116497
1	33322868	33343082	FNDC5;ENSG00000160097
1	33346594	33369041	HPCA;ENSG00000121905
1	33355194	33372038	TMEM54;ENSG00000121900
1	33397045	33435285	RNF19B;ENSG00000116514
1	33468584	33551596	AK2;ENSG00000004455
1	33541704	33591130	ADC;ENSG00000142920
1	33606002	33652659	TRIM62;ENSG00000116525
1	33717145	33771319	ZNF362;ENSG00000160094
1	33784223	33901652	PHC2;ENSG00000134686
1	33933245	33966994	ZSCAN20;ENSG00000121903
1	33974608	34636442	CSMD2;ENSG00000121904
1	34321075	34335391	HMGB4;ENSG00000176256
1	34627483	34689731	C1orf94;ENSG00000142698
1	35173337	35330416	C1orf212;ENSG00000163866
1	35215647	35229112	GJB5;ENSG00000189280
1	35220341	35234324	GJB4;ENSG00000189433
1	35241789	35256969	GJB3;ENSG00000188910
1	35253598	35266347	GJA4;ENSG00000187513
1	35326036	35400185	DLGAP3;ENSG00000116544
1	35442133	35502568	ZMYM6;ENSG00000163867
1	35442135	35455953	ZMYM6NB;ENSG00000243749
1	35520386	35586459	ZMYM1;ENSG00000197056
1	35636978	35663748	SFPQ;ENSG00000116560
1	35729567	35892658	ZMYM4;ENSG00000146463
1	35894090	36028550	KIAA0319L;ENSG00000142687
1	36018073	36037874	NCDN;ENSG00000020129
1	36033970	36065928	TFAP2E;ENSG00000116819
1	36062184	36112444	PSMB2;ENSG00000126067
1	36174475	36190072	C1orf216;ENSG00000142686
1	36180818	36240567	CLSPN;ENSG00000092853
1	36268772	36328490	EIF2C4;ENSG00000134698
1	36330408	36400210	EIF2C1;ENSG00000092847
1	36391318	36527062	EIF2C3;ENSG00000126070
1	36544675	36558875	TEKT2;ENSG00000092850
1	36549475	36564532	ADPRHL2;ENSG00000116863
1	36555836	36595820	COL8A2;ENSG00000171812
1	36597172	36620097	TRAPPC3;ENSG00000054116
1	36616179	36651449	MAP7D1;ENSG00000116871
1	36685016	36775957	THRAP3;ENSG00000054118
1	36766987	36795483	SH3D21;ENSG00000214193
1	36782631	36794754	FAM176B;ENSG00000142694
1	36784334	36799817	AL591845.1;ENSG00000116883
1	36800224	36856496	STK40;ENSG00000196182
1	36851838	36868492	LSM10;ENSG00000181817
1	36876427	36921085	OSCP1;ENSG00000116885
1	36916318	36935037	MRPS15;ENSG00000116898
1	36926643	36953878	CSF3R;ENSG00000119535
1	37256127	37504729	GRIK3;ENSG00000163873
1	37935152	37954977	ZC3H12A;ENSG00000163874
1	37953175	37985374	MEAF6;ENSG00000163875
1	37997141	38024902	SNIP1;ENSG00000163877
1	38017519	38037457	DNALI1;ENSG00000163879
1	38027416	38066535	GNL2;ENSG00000134697
1	38071950	38105594	RSPO1;ENSG00000169218
1	38142241	38162913	C1orf109;ENSG00000116922
1	38153089	38180390	CDCA8;ENSG00000134690
1	38174551	38235804	EPHA10;ENSG00000183317
1	38254473	38271808	MANEAL;ENSG00000185090
1	38263615	38278856	YRDC;ENSG00000196449
1	38267650	38280125	C1orf122;ENSG00000197982
1	38274850	38330291	MTF1;ENSG00000188786
1	38287231	38298885	AL929472.1;ENSG00000230610
1	38321368	38417728	INPP5B;ENSG00000204084
1	38417646	38461592	SF3A3;ENSG00000183431
1	38457441	38476277	FHL3;ENSG00000183386
1	38469929	38495495	UTP11L;ENSG00000183520
1	38504522	38517449	POU3F1;ENSG00000185668
1	39298869	39330494	RRAGC;ENSG00000116954
1	39323635	39352288	MYCBP;ENSG00000214114
1	39325174	39352288	GJA9;ENSG00000131233
1	39346478	39412470	RHBDL2;ENSG00000158315
1	39451894	39476730	AKIRIN1;ENSG00000174574
1	39486989	39505307	NDUFS5;ENSG00000168653
1	39541987	39957848	MACF1;ENSG00000127603
1	39871150	39887153	KIAA0754;ENSG00000255103
1	39952317	39996606	BMP8A;ENSG00000183682
1	40021487	40047461	PABPC4;ENSG00000090621
1	40084824	40110616	HEYL;ENSG00000163909
1	40119792	40142709	NT5C1A;ENSG00000116981
1	40139319	40162360	HPCAL4;ENSG00000116983
1	40152853	40234585	PPIE;ENSG00000084072
1	40217853	40259532	BMP8B;ENSG00000116985
1	40230194	40242019	OXCT2;ENSG00000198754
1	40301707	40354182	TRIT1;ENSG00000043514
1	40356097	40372927	MYCL1;ENSG00000116990
1	40415801	40440637	MFSD2A;ENSG00000168389
1	40500904	40543320	CAP1;ENSG00000131236
1	40533378	40568374	PPT1;ENSG00000131238
1	40622044	40711592	RLF;ENSG00000117000
1	40706618	40722362	TMCO2;ENSG00000188800
1	40718778	40764855	ZMPSTE24;ENSG00000084073
1	40761158	40788487	COL9A2;ENSG00000049089
1	40805521	40893997	SMAP2;ENSG00000084070
1	40910773	40934389	ZNF643;ENSG00000187801
1	40937886	40967014	ZNF642;ENSG00000187815
1	40969412	40987227	DEM1;ENSG00000164002
1	40992232	41018840	ZNF684;ENSG00000117010
1	41081350	41136328	RIMS3;ENSG00000117016
1	41152319	41242274	NFYC;ENSG00000066136
1	41244683	41311123	KCNQ4;ENSG00000117013
1	41321728	41333017	CITED4;ENSG00000179862
